1;-1;1,81;0.515093
1;1;-1;1;-1;1,10;0.513001
-1;-1,150;0.549172
1;1,235;0.728470
-1;-1;-1;1;-1;-1,10;0.506128
-1;-1;-1;-1;-1;1,8;0.385061
-1;-1;1;-1;1;1,10;0.768137
-1;1;1;1;1;1,20;0.723563
-1;-1;-1;-1,25;0.583143
1;1;-1;1;-1;-1,4;0.421518
-1;1;1,94;0.727724
-1;1;1;-1;-1,24;0.547749
1;1;1;1;-1;1,16;0.467321
-1;-1;1;1;-1;1,7;0.515760
-1;1;-1;-1;-1;1,8;0.445509
1;-1;1;1;1,30;0.746162
-1;1;1;1;-1;-1,7;0.562057
1;1;-1;1;1;1,13;0.766599
-1;-1;1;1;-1,24;0.279005
-1;1;1;-1;-1;1,10;0.466323
1;-1;-1;1;1,24;0.691090
-1;-1;-1;1,36;0.425834
-1;1;-1;-1,33;0.498695
1;1;-1,92;0.319819
1;1;-1;1,42;0.508192
-1;1;-1;1;-1,13;0.354366
1;1;-1;1;1,26;0.768966
1;1;-1;-1,45;0.572256
1;1;-1;-1;-1,21;0.560235
1;-1;-1;-1,37;0.555674
-1,329;0.422158
1;-1;1;1;1;-1,7;0.324807
-1;1;-1;-1;1;1,11;0.655943
1;-1;1;-1;-1,13;0.480939
1;1;1;1;1;-1,19;0.317706
1;-1;-1;-1;1,22;0.430881
1;1;1;1;1;1,17;0.716628
1;-1;-1;1;-1;-1,10;0.514346
-1;1;-1;1;-1;-1,6;0.504773
1;-1;-1;1,41;0.487770
-1;-1;1;-1;-1;1,10;0.508635
-1;1;1;-1;1;-1,4;0.396808
-1;1;-1;-1;-1,15;0.562332
-1;-1;-1;-1;1;1,6;0.799491
1;1;1;-1;-1;1,9;0.406376
1;-1;1;-1;1;1,8;0.661023
1;-1;1;-1,32;0.345954
1;-1;1;1;-1,15;0.335006
-1;-1;1;-1;-1;-1,9;0.604566
-1;-1;-1;-1;-1,12;0.568861
-1;-1;-1;1;1;1,9;0.744965
-1;-1;1;1,42;0.708567
1;1;1;1;-1;-1,12;0.603072
1;-1;-1;1;-1,17;0.298765
1;-1;1;-1;1,18;0.552996
-1;-1;-1;-1;-1;-1,4;0.619215
-1;-1;-1;1;1;-1,8;0.254045
-1;-1;1;1;-1;-1,15;0.560792
-1;1,164;0.481013
-1;-1;-1;-1;1,13;0.410349
1;1;-1;1;1;-1,12;0.356753
-1;-1;-1,64;0.565567
1;1;-1;-1;1;-1,9;0.278160
-1;1;1;1;1,34;0.718518
-1;1;-1;1;1;-1,3;0.248016
1;1;1,131;0.724673
-1;-1;1;-1,34;0.250899
-1;-1;1;1;1,17;0.716382
1;-1;1;1;-1;1,6;0.518773
-1;1;1;-1,39;0.300543
-1;1;-1;1;1,19;0.725371
1;1;1;-1,47;0.323842
1;-1;1;-1;-1;-1,6;0.498982
-1;1;-1;1;1;1,14;0.730908
1;1;-1;-1;1;1,11;0.730771
1;1;1;-1;-1,19;0.587961
-1;-1;-1;1;-1;1,6;0.457113
-1;-1;1;-1;1;-1,3;0.352600
1;-1;-1;-1;-1;-1,8;0.543684
-1;-1;-1;-1;1;-1,6;0.215859
1;-1;1;1,48;0.746643
1;-1;1;1;1;1,23;0.713336
-1;1;-1;-1;1;-1,6;0.329261
1;1;-1;-1;-1;1,13;0.427332
-1;-1;1,78;0.455373
-1;-1;-1;1;-1,17;0.203032
1;1;1;1;1,39;0.715021
-1;-1;1;1;1;-1,7;0.264677
-1;1;-1,67;0.296285
1;-1;-1;1;-1;1,7;0.455616
-1;-1;1;-1;-1,20;0.510237
1;1;-1;1;-1,15;0.324529
1;1;-1;-1;-1;-1,6;0.613006
-1;-1;-1;1;1,17;0.738507
-1;1;1;-1;1;1,9;0.746531
1;1;1;-1;1;-1,11;0.298246
1;-1;1;-1;1;-1,10;0.354896
1;-1;-1;-1;1;1,11;0.705243
-1;1;-1;-1;1,17;0.501630
1;-1;1;-1;-1;1,7;0.491622
1;1;1;-1;1;1,13;0.785265
-1;1;-1;1,32;0.515966
1,421;0.625868
1;-1;-1;-1;1;-1,10;0.196284
1;1;1;1;-1,29;0.333594
1;-1,171;0.308230
-1;-1;1;1;1;1,10;0.718419
-1;1;1;-1;-1;-1,10;0.507743
-1;1;1;1,51;0.737740
-1;1;1;1;-1;1,8;0.557738
1;1;-1;-1;1,20;0.446031
1;-1;-1;1;1;-1,16;0.291484
-1;1;1;-1;1,13;0.517150
1;1;1;-1;-1;-1,10;0.618751
1;-1;1;1;-1;-1,9;0.526011
-1;1;-1;-1;-1;-1,6;0.574869
1;1;1;-1;1,25;0.503276
1;-1;-1;-1;-1,12;0.593938
1;-1;-1,83;0.534640
1;1;1;1,76;0.716793
-1;1;1;1;-1,17;0.309450
-1;1;-1;1;-1;1,7;0.600697
-1;-1;1;-1;1,13;0.456307
1;-1;-1;-1;-1;1,4;0.490595
-1;1;1;1;1;-1,9;0.352919
1;-1;-1;1;1;1,7;0.679932
